paternal uncle	{a khu}
mother and children	mother and (her) children {ma smad}
immediately thereafter, right after	{ma thag}
immediately thereafter, right after	{ma thag tu}
brother	(HON) {mched}
to come, to go	(INTR) {mchi} =(HML) for {'ong} / {'gro}
to speak	(HML),(TR) {mchi}
tears	{mchi ma}
to be there	{mchis} =(HML) for {yod}
offering, honours	{mchod pa}
stūpa	shrine (Skt. stūpa) {mchod rten}
to worship	(TR) {mchod}
the most excellent	{mchog}
very	{mchog tu}
to jump	(INTR) {mchong}
to jump	(INTR) {mchongs}
arrow	{mda'}
downland, the lower part of a valley	{mda'}
brightness	{mdangs}
in brief	{mdor}
in front of, before	(POSTP) {mdun du}
front	{mdun}
incisor	(lit. front) tooth {mdun so}
lover	{mdza' bo}
to do, to act	(TR) {mdzad} =(HON) for {byed}
deed	(HON) {mdzad pa}
wise	{mdzangs}
leprosy	{mdze}
cache, repository	{mdzod}
fore-finger	{mdzub mo}
not to be, not to exist, not to have	(COP) {med} =(NEG) of {yod}
fire	{me}
mirror	{me long}
firewood	{me shing}
flower	{me tog}
head	{mgo bo}
head	{mgo}
anāthapiṇḍada	(PN) {mgon med zas sbyin} (Skt. Anāthapiṇḍada)
patron, protector	{mgon po}
neck	{mgul}
quick	{mgyogs po}
quick,to be quick	{mgyogs}
false-master	false-master, lit. non-master {mi bdag}
lineage	{mi brgyud}
eye	{mig}
labour	{mi las}
man, human being	{mi}
not	(NEG) {mi}
name	{ming}
brother and sister	{ming sring}
not to be	(COP) {min} =(NEG) of {yin}
man’s wealth	{mi nor}
unpleasant	{mi snyan}
dwarf	{mi'u}
hind part	{mjug}
tail	{mjug ma}
castle	{mkhar}
skilled, wise, learned, wise one	{mkhas pa}
a skilled male person, a scholar	{mkhas po}
to recognise, to discern, to realise, to understand, to know	(TR) {mkhyen} =(HON) for {shes}
to sleep	(HON), (INTR) {mnal}
wife	{mna' ma}
to suffer, to be pained	(INTR) {mnar}
to have	(HON) {mnga'} =(HON) for {yod}
real understanding	{mngon blo}
openly, visibly	{mngon par}
to achieve manifesting enlightenment	(INTR) {mngon par sangs rgya}
Śrāvasti	(PN) Indian town Śrāvasti {mnyan du yod pa}
she	(3SG) (F) {mo}
female	(A) {mo}
to be abundant, to abound	(INTR) {mod}
diviner	{mo ma}
woman’s goods	{mo nor}
respect	{mos gus}
to take pleasure in	(INTR) {mos}
end	{mtha'}
to see	(TR) {mthong}
heaven	{mtho ris}
high,to be high	{mtho}
strength, spell	{mthu}
to agree	(INTR) {mthun}
halter	{mthur}
between	(POSTP) {mtshams su}
name, characteristic mark, sign	{mtshan} =(HON) for {ming}
beautiful	{mtshar ba}
lake	{mtsho}
affliction, misery, trouble	{mya ngan}
nirvāṇa	{mya ngan las 'das pa} Skt. nirvāṇa
aśoka	(PN) {mya ngan med} (Skt. Aśoka)
to experience	(TR) {myong}
quick	{myur ba}
quickly	{myur bar}
quickly	{myur du}
mist	{na bun}
girl	{na chung}
illness	{nad}
black	{nag mo}
black, to be black	{nag pa}
forest	{nags ma}
to be ill	(INTR) {na}
incest	{nal}
bastard child	{nal lu}
when	(INT / REL) {nam}
garuḍa-bird	garuḍa-bird, lit. one soaring in the sky {nam mkha' lding}
sky	{nam mkha'}
into, in	(POSTP) {nang du}
among	(POSTP) {nang na}
from	(POSTP) {nang nas}
day after tomorrow	{nang par}
day after tomorrow	{nangs par}
the inside, interior	{nang}
very much	{nan tar}
continuous	{nar ma}
continuously	{nar nar}
barley	{nas}
I	(1SG) {nga}
speech	{ngag}
verbally	{ngag tu}
to be tired	(INTR) {ngal}
weariness	{ngal}
I, humble I	(1SG) {ngan bu}
goose	{ngang pa}
forbearance	{ngang rgyud}
bad, to be bad, wicked	{ngan pa}
I	(1SG) {nga rang}
leg of trousers	{ngar pa}
we	(1PL) {nged}
we	(1PL) {nged rang}
renunciation	{nges 'byung}
certainly	{nges par}
certain, to be certain	{nges}
face	{ngo}
to be sated	(INTR) {ngom}
miracle, wonder, wonderful	{ngo mtshar}
shame, shameful	{ngo tsha}
to weep	(INTR) {ngu}
yellowish red	{ngur smrig}
to overcome, to suppress	(TR) {non}
wealth, goods, cattle	{nor}
wealth’s owner	{nor bdag po}
wealthy man	{nor bdag}
jewel	{nor bu}
wealthy	(A) {nor can}
wealthy one	(N) {nor can}
wealthy	{nor ldan}
impoverished	{nor med}
source of wealth, souorce of possessions	source of wealth, source of possessions, lit. “wealth-raising” {nor slongs}
wealthy	{nor yod}
evening	{nub mo}
night	{nub}
younger brother	{nu bo}
to be able, capable, can	(MOD) {nus}
lump	{nyag}
to lie down	(INTR) {nyal}
weak, to be weak	{nyam chung}
to be, to get hurt	(INTR) {nyams}
to be exhausted	(INTR) {nyams thag}
to listen, to hear	(TR) {nyan}
to be near	(INTR) {nye}
kindreds	{nye 'khor}
to be pained	(INTR) {nyen}
near and distant	{nye ring}
to be hurt, to be bad, to make a mistake	(INTR) {nyes}
moral fault, evil, offence, calamity	{nyes pa}
the very, self, alone	{nyid}
as such	{nyid du}
solar disc	{nyi dkyil}
dangling	{nyil le}
sun	{nyi ma}
day	{nyin}
during the day	{nyin par}
twenty-seven	{nyi shu rtsa bdun}
misery, trouble	{nyon mongs pa}
to buy	(TR) {nyo}
few,to be few	{nyung}
difficulty, trouble	{'o brgyal}
we	(1PL) {'o cag}
light	{'od}
ray	{'od zer}
nether sphere, ground floor	{'og}
below, underneath	(ADV) {'og na}
below	(POSTP) {'og na}
after	(POSTP) {'og tu}
very well, all right	{'o lags so}
milk	{'o ma}
well, now then	(INTRJ) {'o na}
to come, to become, to be	(INTR) {'ong}
or if not, or else, or also	{'on te}
to be suitable	(INTR) {'os}
we	(1PL) {'o skol}
lotus	{pad mo}
brick	{pa gu}
father	{pha}
concealment	{phag}
Noble One	the Noble One (lit. Surpassing One) {'phags pa}
ujjayinī	(PN) {'phags rgyal}, name of an Indian town (Skt. Ujjayinī)
swine	{phag}
secretly	{phag tu}
parents, father and mother	{pha ma}
father and brother, father and brothers	father and brother(s) {pha ming}
despondent	{'pham pa}
benefit, useful,to be useful	{phan}
happiness, happiness and blessing	{phan bde}
abundant	{phangs med}
benefit, beneficial,to be beneficial	{phan pa}
the other, the outside	{pha rol}
beyond	(POSTP) {pha rol na}
patrimony	{pha shul}
to increase, to thrive	(INTR) {'phel}
to throw	(TR) {'phen}
to be able, to be able to bear	(TR) {pher}
male	(A) {pho}
elder brother	{pho bo}
palace, castle	{pho brang}
to hit	(TR) {'phog}
to change	(INTR) {'pho}
one of tutelary deities	{pho lha}
particle	{phrad}
to meet with	(TR) {'phrad}
envy	{phrag dog}
shoulder	{phrag pa}
shoulder	{phrag}
message	{phrin}
to take away, to rob, to deprive of	(TR) {'phrog}
child	{phru gu}
elder brother	{phu bo}
sleeve	{phu dung}
dove	{phug ron}
a handful	{phul gang}
victorious	{phul phyin}
turret	{phul}
heap	{phung po}
sampatti	accomplishment (Skt. sampatti) {phun sum tshogs pa}
to fly	(INTR) {'phur}
upland, upper part of a valley	{phu}
hand	{phyag} =(HON) for {lag pa}
to deride, to laugh	(INTR) {'phya}
lot	{phya}
half	{phyed ka}
half	{phyed ma}
flour	{phye}
after	(POSTP) {phyi bzhin}
later, next	{phyi ma}
after	(POSTP) {phyin chad}
to arrive, to go	(INTR) {phyin}
back, again, out, outside	(ADV) {phyir}
on account of, due to, because, for the sake of, in order to	(POSTP) {phyir}
outside	{phyi rol}
again, afterwards	{phyir yang}
later	{phyis}
direction, side	{phyogs}
towards	(POSTP) {phyogs la}
towards	(POSTP) {phyogs su}
cattle	{phyugs}
rich,to be rich	{phyug}
Potala	{po ta la}, name of a mountain
the eldest, the best, eldest	{rab}
a cycle of sixty years	{rab byung}
chapter	chapter (Skt. prakaraṇa) {rab tu byed pa}
prakaraṇa	chapter (Skt. prakaraṇa) {rab tu byed pa}
very	{rab tu}
goat	{ra}
torn	{ral ba}
sword	{ral gri}
lock	{ral pa}
help	{ra mda'}
self, itself, own, merely	{rang}
to rejoice	(INTR) {rang}
just, oneself	{rang nyid}
we	(1PL) (INCL) {rang re}
to be right	(INTR) {ran}
cotton cloth	{ras}
to spread	(TR) {rdal}
to throw down, to stomp	(TR) {rdebs}
pebble	{rde'u}
stone, ore	{rdo}
stone	{rdo ba}
to be worn out	(INTR) {rdugs}
dust	{rdul}
to beat	(TR) {rdung}
silt	{rdza}
object	{rdzas}
herdsman	{rdzi'u}
magic tricks, miracles	{rdzu 'phrul}
each, every, single	(DET) {re}
individually	{re re nas}
once	{res}
to wish	(TR) {re}
to cross	(TR) {rgal}
age	{rgan gzhon}
old woman, old	{rgan mo}
old man	{rgan po}
mare	{rgod ma}
vulture	{rgod}
to fight	(TR) {rgol}
to grow weak, to decline	(INTR) {rgud}
the back	(N) {rgyab}
to throw	(TR) {rgyab}
India	(PN) {rgya gar}
Sanskrit	Sanskrit, lit. “language of India” {rgya gar skad}
language of India	Sanskrit, lit. “language of India” {rgya gar skad}
provisions	{rgyags}
king and minister	{rgyal blon}
prince	{rgyal bu}
jetṛ	(PN) {rgyal byed} (Skt. Jetṛ)
to be victorious	(INTR) to be victorious (over) {rgyal}
kingdom, realm	{rgyal khams}
queen	{rgyal mo}
vassal	{rgyal phran}
king	{rgyal po}
throne	{rgyal sa}
government, reign, dominion	{rgyal srid}
ocean	{rgya mtsho}
China	(PN) {rgya nag}
distance	{rgyang ma}
a while	(N) {rgyang tshad}
China	(PN) {rgya}
to increase, to grow, to spread, to be full of	(INTR) {rgyas}
vyāsa	(PN) {rgyas pa} (Skt. Vyāsa)
in detail, expandingly, extensively	{rgyas par}
realm of existence, tantra	{rgyud}
to run	(INTR) {rgyug}
interruption	{rgyun chad}
constantly, continually	{rgyun du}
flow, stream	{rgyun}
star	{rgyu skar}
familiar with	familiar with, lit. having knowledge (of) {rgyus yod}
mountain	{ri bo}
hare	{ri bong}
meagre,to be meagre, emaciated	{rid pa}
animals	{ri dwags}
knowledge holder	knowledge holder (Skt. vidyādhara) {rig 'dzin}
vidyādhara	knowledge holder (Skt. vidyādhara) {rig 'dzin}
science	{rig gnas}
knowledge	{rig pa}
family, lineage, race, state, kind	{rigs}
to have the way, to have the manner, to be suitable, to be right, to be appropriate	(INTR) {rigs}
of one breed	of one breed, lit. agreeing in kind {rigs mthun}
hangman	{rigs ngan}
method	{rigs pa}
race	{rigs rgyud}
round	{ril ba}
globula, pill	{ril bu}
globula, pill	{ri lu}
successively, in a row	{rim gyis}
picture	{ri mo}
mountain	{ri}
in succession	{rim par}
row	{rim pa}
plague	{rims}
to be long	(INTR) {ring}
when, during	(POSTP) {ring la}
long, far away	{ring po}
long	(ADV) {ring por}
long time	{ring zhig}
for a long time	(ADV) {ring zhig tu}
jewel, precious stone	(N) {rin po che}
precious	(A) {rin po che}
sumeru	(PN) {ri rab}, a mountain in Indian cosmology (Skt. Sumeru)
lord, ruler	{rje}
step, trace	(N) {rjes}
after, behind	(POSTP) {rjes}
after	(POSTP) {rjes su} see {rang}
to say	(TR) {rjod}
akṣapāda	(PN) {rkang mig} (Skt. Akṣapāda)
leg, foot	{rkang pa}
to dig	to dig (out) (TR) {rko}
to steal	(TR) {rku}
leather bag	{rkyal pa}
single	{rkyang}
cause	{rkyen}
due to, because of	(POSTP) {rkyen gyis}
fresh	{rlon pa}
dream	{rmi lam}
to dream	(TR) {rmi}
to get confused	(INTR) {rmong}
ignorant	(N) {rmongs pa}
to sow and plough	(TR) {rmo}
facial expression	{rnam 'gyur}
kind, division	{rnam pa}
disgust	{rnam rtog}
drum	{rnga}
to reap	(TR) {rnga}
sharp	{rnon po}
to find, to obtain	(TR) {rnyed}
whirlpool	{rnyog pa}
body, corpse	{ro}
constitution	{rod}
black	{rog po}
horse-owner	{rta bdag}
lasting, durable, permanence	{rtag pa}
always	{rtag tu}
horse	{rta}
horseman	{rta pa}
horse-keeper	{rta rdzi}
foal	{rte'u}
later	(ADV) {rting du}
after	(POSTP) {rting la}
later	(ADV) {rting la}
later	(ADV) {rting sor}
to perceive, to apprehend	(TR) {rtogs}
to consider, to examine	(TR) {rtog}
foot of a mountain, place	foot (of a mountain etc.), place {rtsa}
physical skills	{rtsal}
before, in front of	(POSTP) {rtsar}
to play	(INTR) {rtse}
summit	{rtse mo}
summit	{rtse}
thorn	{rtse'u}
wall	{rtsig pa}
to built, to erect	(TR) {rtsig}
divination	{rtsis}
conflict	{rtsod pa}
to argue, to debate about	(TR) {rtsod}
dirty	{rtsog pa}
completely nasty, messed	{rtsog rtsog pa}
to plan, to commence	(TR) {rtsom}
grass	{rtswa kha}
to be suitable, to be worth	(INTR) {rung}
small bone	{rus bu}
bone	{rus pa}
horn	{rwa}
earth, place, ground, terrestrial sphere	{sa}
seeds	{sa bon}
to wake up	(INTR) {sad}
vaiśākha	(PN) {sa ga}, name of a lunar mansion (Skt. vaiśākha)
Buddha	{sangs rgyas}
mass of soil	{sa phung}
svātī	(PN) {sa ri}, name of a lunar mansion (Skt. svātī)
Earth-Horse	Earth-Horse (year) {sa rta}
frog	{sbal pa}
to hide, to conceal	(TR) {sbed}
plump	{sbom po}
honey	{sbrang rtsi}
tent	{sbra}
snake	{sbrul}
to give, to bestow, to offer	(TR) {sbyin}
to compare with, to join	(TR) {sbyor}
coward	{sdar ma}
to join	(TR) {sdeb}
class	{sde}
offence, sin	{sdig pa}
to wait, to stay, to live	(INTR) {sdod}
vow	{sdom pa}
to bind, to fetter	(TR) {sdom}
to add, to collect, to gather	(TR) {sdud}
misery, to be pained	{sdug}
afflicted,to be afflicted, pained, misery, suffering, affliction	{sdug bsngal}
a truly miserable person	{sdug mad}
dear	{sdug pa}
misery	{sdug po}
hardiness	{sdug sran}
pretty,to be pretty, nice	{sdug}
snapping one’s fingers	{se gol}
to clean away	(TR) {sel ba}
to think about, to think of	(TR) {sems}
hell	{sems can dmyal ba}
living being, sentient being	{sems can}
timid	{sems chung}
consolation	{sems gso}
lion	{seng ge}
thin	{seng seng}
nugget	{se}
crack, fissure	{ser ga}
yellow	{ser po}
pomegranate	{se 'u}
door	{sgo}
door-guarding dog	{sgo khyi}
to meditate	(TR) {sgom}
due to, by means of	(POSTP) {sgo nas}
to say	(TR) {sgo}
sound, voice	{sgra}
to arrange	(TR) {sgrig}
to promulgate	(TR) {sgrog}
tārā	(PN) {sgrol ma} (Skt. Tārā)
to rescue	(TR) {sgrol}
box, chest	{sgrom}
to accomplish, to achieve	(TR) {sgrub}
māyādevī	(PN) {sgyu ma lha mdzes} (Skt. māyādevī: {sgyu ma} = Skt. māyā, {lha mdzes} = Skt. devī)
to translate	(TR) {sgyur}
flesh, meat, body	{sha}
body-beauty	{sha bkrag}
body of a slaughtered animal	{sha khog}
Śa-khri	(PN) {sha khri}
Mountain-Śākya	(PN) {shAkya ri brag pa}
Śākyamuni	(PN) {shAkya thub pa}
lower garment	{sham thabs}
difference	{shan}
subject matter of knowledge	{shes bya}
intelligent	{shes pa}
sage	{shes rab ldan pa}
understanding, wisdom	{shes rab}
knowledge	{shes rig}
to know, be aware of, to recognise, to realise, to be able, capable, can	(TR) {shes}
louse and nit	{shig sro}
wood, tree	{shing}
tree-leaf	{shing lo}
carpenter	{shing mkhan}
forest	{shing nags}
chariot	{shing rta}
fruit	fruit (of trees) {shing thog}
very	{shin tu}
to prepare	(TR) {shom}
the other	the other (of two) {shos}
sigh	{shugs ring}
empty place	{shul}
voice, words	{skad}
a moment	{skad cig}
fortune	{skal ba}
girdle	{ska rags}
constellation	{skar ma}
thirsty,to be thirsty	{skom}
thirst	(N) {skom}
chin	{skom tshugs}
to surround, to besiege, to turn, to set in motion, to brandish	(TR) {skor}
to be terrified, frightened	(INTR) {skrag dngang}
hair	{skra}
to charge, to assign	(TR) {skri}
body	{sku} =(HON) for {lus}
to exhort	(TR) {skul}
fortified castle	{sku mkhar} =(HON) for {mkhar}
to send, to give	(TR) {skur}
to disappear	(INTR) {sku thim} =(HON) for {thim}
lifetime	{sku tshe} =(HON) for {tshe}
pale	{skya bo}
protection	{skyabs}
pāṇḍu	(PN) {skyabs seng} (Skt. Pāṇḍu)
pale,to be pale, flavourless	{skya}
birth, life	{skye ba}
man, human being	{skye bo}
to increase, to generate	(TR) {skyed}
to be born, to grow	(INTR) {skye}
to conduct, to bring	(TR) {skyel}
precipitate	(A) {skyen pa}
great person, mahāpuruṣa	great person (Skt. mahāpuruṣa){skyes bu chen po}
living being	{skyes bu}
man, male person	{skyes pa}
happiness	{skyid po}
happiness and misery	{skyid sdug}
to protect, to guard, to save	(TR) {skyob}
to be vexed with	(INTR) {skyo}
fault, harm, misdeed	{skyon}
to guard, to tend	(TR) {skyong}
to throw away	(TR) {skyur}
easy	{sla ba}
back part	{slad}
on account of, in order to	(POSTP) {slad du}
back	(ADV) {slar}
retinue	{slas}
teacher	{slob dpon}
to learn, to study	(TR) {slob}
begging	{slongs}
to ask, to order, to beg	(TR) {slong}
to entice, to deceive, to bewitch	(TR) {slu}
medicine, herb	{sman}
physician	{sman pa}
ripe	{smin}
to desire	(TR) {smon}
to speak, to say	(TR) {smra}
lamentation	{smre sngags}
reed	{smyug ma}
reed-pen	{smyu gu}
a kind	{sna}
to hurt	(TR) {snad}
woollens	{snam bu}
to appear	(INTR) {snang}
nose	{sna}
all kinds	{sna tshogs} (also {rnam pa sna tshogs})
the earliest one	{snga ba}
earlier time	{snga}
mantra	{sngags}
to praise	(TR) {sngag}
before	{snga ma}
earlier, before, ahead	(A) {sngar}
the past	(N) {sngar}
past ages	{snga rol}
until recently	{sngar phan}
pillow	{sngas mgo}
green	{sngo}
earlier	{sngon}
to take	(TR) {snom}
to stick in	(TR) {snun}
to tell, to relate	(TR) {snyad}
to think, thought	{snyam}
ear	{snyan} =(HON) for {rna ba}
pleasant, well-sounding	{snyan pa}
about	(DET) {snyed}. See also {de snyed}
loving, kind	{snying brtse ba}
quintessence, the main substance	{snying po}
compassionate	{snying rje ba}
compassion	{snying rje}
courage	{snying stobs}
to feed	(TR) {snyod}
to lay down	(TR) {snyol}
disease, illness	{snyun}
illness	{snyung}
tooth, tooth	{so}
unhusked barley	{so ba}
scapula	{sog kha}
and so forth, such as, including, among others	{sogs}
charcoal	{sol ba}
new	{so ma}
agriculture	{so nam}
whistling through the teeth	{so sgra}
everyone	{so so}
individually	{so so nas}
separately	{so sor}
housekeeping	{so tshis}
meadow	{spang}
to abandon	(TR) {spong}
to beg	(INTR) {sprang}
beggar	(N) {sprang}
beggar	{sprang po}
monkey	{spre}
monkey	{spre'u}
young of a monkey, monkey-child	{spre'u phrug}
cloud	{sprin}
joy	{spro ba}
to give, to return, to make to meet, to bring together	(TR) {sprod}
to shake off	(TR) {sprug}
transformation, emanation, incarnation	{sprul pa}
hair	{spu}
body, corpse	(HON) {spur}
eye	{spyan} =(HON) for {mig}
crown of the head	{spyi bo}
glue	{spyin}
mode of life	{spyod lam}
behaviour, conduct	{spyod pa}
to do, to practice, to act, to use, to enjoy	(TR) {spyod}
conduct	{spyod tshul}
to scold	(INTR) {spyo}
to banish	(TR) {spyug}
beans	{sran ma}
son	{sras} =(HON) for {bu}
to burn	(TR) {sreg}
to exist, to be, to be possible, to be able	(COP) {srid}
dominion	(N) {srid}
triple world	{srid gsum}
existence	{srid pa}
sister	{sring mo}
demoness	{srin mo}
demon	{srin po}
living being, animated being, animal	{srog chags}
life	{srog}
to guard, to protect	(TR) {srung}
tigress	{stag mo}
tiger cub	{stag phrug}
tiger	{stag}
mat, seat	{stan}
above, on, onto, up	(POSTP) {steng du}
upper story	{steng khang}
from	(POSTP) {steng nas}
top, surface	{steng}
to allow to, to give	(TR) {ster}
axe	{ste'u}
due to, because of	(POSTP) {stobs kyis}
strong, powerful	{stobs ldan}
strength	{stobs}
higher sphere	{stod}
to praise	(TR) {stod}
voidness	{stong pa nyid}
feast-row	{ston gral}
thousand	{stong}
feast	{ston mo}
teacher	{ston pa}
harvest	{ston thog}
to teach, to explain, to show, to display	(TR) {ston}
to get lost	(INTR) {stor}
to give, to bestow	(HON) {stsol}
who	(INT) who? {su}
thirty-ninth	{sum cu dgu pa}
thirty	{sum cu}
anybody	{su yang}
means, stratagem	{thabs}
to fight	(TR) {'thab}
adversary	{'thab ya}
the youngest, youngest	{tha chungs}
to, towards	(POSTP) {thad du}
weaver	{tha ga pa}
severed	{thag chad pa}
to stop	(INTR) {thag chod}
texture	{thags}
to weave	(TR) {'thag}
to weave	(INTR) {thags 'thag}\nsee also: {'thag}
a hand-slap	{thal lcag}
palm of the hand	{thal mo}
sack of dust	{thal sgro}
dust-whirl	{thal tshub}
eventually	{tha ma}
to shut closely	(INTR) {'tham}
all	(N) {thams cad}
all	(A) {thams cad}
plain	{thang}
scatteredly	{tha re tho re}
to become free	(INTR) {thar}
path of release	{thar lam}
scatteredly	{thar re thor re}
mahāyana	Skt. mahāyana {theg pa chen po}
doubt	{the tshom}
to disappear by being absorbed, to disappear	(INTR) {thim}
to achieve, to attain, to obtain	(TR) {thob}
turban	{thod}
to get stuck	(INTR) {thogs}
to carry	(TR) {'thogs}
on	(POSTP) {thog tu}
what is uppermost	{thog}
to go out	(INTR) {'thon}
to be scattered	(INTR) {'thor}
to hear	(TR) {thos}
coat-flap	{thu ba}
to match, to have the command of, to attain	(TR) {thub}
to be able, to be capable	(MOD) {thub}
to be about to	(INTR) {thug}
to love	(HON) {thugs brtse} =(INTR) for {brtse}
tutelary deity, meditation	{thugs dam} =(HON) for {yi dam}
demon	{thugs gdon} =(HON) for {gdon}
mind	{thugs} =(HON) for {snying} / {yid}
mind, heart	{thugs nyams} =(HON) for {nyams}
compassionate	{thugs rje can}
compassion	{thugs rje} =(HON) for {snying rje}
grief	{thugs skyo shas} =(HON) for {skyo shas}
short,to be short	{thung}
to drink	(TR) {'thung}
malicious,to be malicious	{thu}
samādhi	contemplation (Skt. samādhi){ting nge 'dzin}
mere, only, as much as, about	(DET) {tsam}
as if, like, like that	{tsam du}
very great	{tshabs}
immeasurable	{tshad med pa}
all	(N) {tshad}
hot	{tsha}
splinter	{tshal ba}
alum	{tsha le}
forest	{tshal}
to wish	(TR) {'tshal}
den	{tshang}
to recover, to wake up	(INTR) {'tshang}
time, life	{tshe}
elder, venerable	elder, venerable (a title) {tshe dang ldan pa}
she-goat	{tshe 'dzugs}
day	{tshes}
life	{tshe srog}
to hurt	(TR) {'tshe}
word	{tshig}
satisfied	{tshim pa}
the right amount, the right measure	{tshod}
to cook, to roast, to brew	(TR) {'tshod}
crowd, troop	{tshogs}
to gather	(INTR) {'tshogs}
to remain alive, to recover, to recover from illness	(INTR) {'tsho}
search	{tshol ba}
to get, to obtain, to search	(TR) {'tshol}
trade	{tshong}
paint	{tshon}
to recognise, to perceive	(TR) {tshor}
to take care, to tend	(TR) {'tsho}
to enter	(INTR) {'tshud}
to be settled, to be established	(INTR) {'tshugs}
to harm	(TR) {tshugs}
like	(POSTP) {tshul du}
way, manner	{tshul}
here, hither	{tshur}
salt	{tshwa}
we	(1PL) {'u bu cag}
we	(1PL) {'u cag}
fox cadaver	{wa ro}
father	{yab} =(HON) for {pha}
ancestors	{yab mes}
father and mother, parents	{yab yum} =(HON) for {pha ma}
to disappear	(INTR) {yal}
again, still, more, further	(ADV) {yang}
really	{yang dag}
or	{yang na}
again and again	{yang yang}
limb	{yan lag}
till	(POSTP) {yan la}
up to	(POSTP) {yan}
up, upward	{yar}
mind, heart	{yid}
hungry ghost	{yi dgas}
text, written text, letter	(written) text, letter {yi ge}
document	{yig tshang}
mind	{yi}\nSee also: {yid}.
to despair, to be tormented	(INTR) {yi mug}
to be	(COP) {yin}
to be, to exist, to have	(COP) {yod}
to come	(INTR) {yong}
to become absolutely free	(INTR) {yongs su 'grol}
quaity, excellent quality, virtue, good skill	{yon tan}
excellent	{yon tan can}
hare	{yos}
piece of cloth	{yug}
country	{yul khams}
countryman	{yul mi}
region, country, land	{yul}
mother	{yum} =(HON) for {ma}
turmeric	{yung ba}
for a long time	(ADV) {yun ring du}
time	{yun}
channel	{yur}
blame	{yus}
profound	{zab mo}
deep,to be deep	{zab pa}
completely	{zad par}
food	{zan}
copper	{zangs}
copper-ore	{zangs rdo}
to eat	(INTR) {zan za}\nSee also {za}.
confused	{za ri zi ri}
confused	{zar ri zir ri}
food	{zas}
Śuddhodana	(PN) {zas gtsang ma} (Skt. Śuddhodana)
to eat	(TR) {za}
saying	{zer ba}
to say, to call	(TR) {zer}
foot	{zhabs} =(HON) for {rkang pa}
day	{zhag}
judgement	{zhal che}
testament	{zhal chems} =(HON) for {kha chems}
judge	{zhal che pa}
smile	(HON) {zhal 'dzum}
mouth	{zhal} =(HON) for {kha}
maternal uncle	{zhang po}
ordinary	{zhan pa}
to fix, to penetrate, to long for	(INTR) {zhen}
hatred	{zhe sdang}
exact	{zhib pa}
minutely	{zhib par}
to be calm	(INTR) {zhi}
field	{zhing}
field-work	{zhing las}
peasant	{zhing pa}
field-share	{zhing skal}
fire	{zhugs} =(HON) for {me}
to speak, to ask	{zhu} =(HML) for {zer} / {smra}
dew	{zil pa}
to be seized with, to be taken over by, to finish	(INTR) {zin}
month	{zla ba}
grief	{zug rngu}
outline	{zur}
