bar chad gcig pa|32
bar chad med pa'i lam|49
bar chad med pa'i ting nge 'dzin|30
bar du dge ba|36
bar du gcod pa'i chos rnams gzhan du mi 'gyur bar nges pa'i lung bstang pa la mi 'jigs pa|21
bar ma dor yong su mya ngan las 'das pa|32
bar snang la gnas pa|66
bcom ldan 'das|12
bcom ldan 'das kyi chos ni legs par gsungs pa|37
bcom ldan 'das kyi nyan thos kyi dge 'dun legs par zhugs pa|34
bcom ldan 'das kyis legs par gsungs pa'i chos 'dul ba ni legs par bstan pa|38
bcud kyi len|71
bdag med pa|48
bde bar gshegs pa|13
bdud|40
'bras bu che|69
brgya byin|40
brgyad pa'i sa|28
brjed byed|62
brten pa yod pa|39
brtson 'grus kyi dbang po|41
brtson 'grus kyi pha rol tu phyin pa|41
brtson 'grus kyi stobs|41
brtson 'grus nyams pa med pa|23
brtson 'grus yang dag byang chub kyi yan lag|41
bsam gtan dang rnam par thar pa dang ting nge 'dzin dang snyoms par 'jug pa dang kun nas nyon mongs pa dang rnam par byang ba dang ldan ba thams cad mkhyen pa'i stobs|19
bsam gtan gyi pha rol tu phyin ba|41
bsam gtan khyad par can|43
bse ru lta bu|31
bsgoms pa las byung ba'i bsod nams bya ba'i dngos po|56
bsgyur ba la ldem por dgongs pa|53
bslab pa'i gzhi|59
bsnyel ba med pa|22
bsnyen par rdzogs pa|57
bsod nams skyes|68
bsrabs pa'i sa|29
btang snyoms|42
btang snyoms yang dag byang chub kyi yan lag|41
bya ba'i cho ga dang yo byad ces skabs dang sbyar|59
bya ba nan tan du grub pa'i ye shes|17
byams pa|42
byang chub kyi yan lag bdun gyi ming la|41
byang chub sems dpa'|26
byang gi sgra mi snyan|65
byang grol|70
byas pa bsrang ba'i sa|29
byas pa bsrang ba'i sa byas brtogs pa'i sa|29
byed pa po|63
bzod ba|30
bzod pa'i pha rol tu phyin ba|41
ca co med pa|22
ched du brjod pa'i sde|35
chen po stong pa nyid|45
'chi 'pho ba dang skye ba mkhyen pa'i stobs|20
cho ga zhib mo|58
cho 'phrul gsum gyi ming la|25
chos dang rjes su mthun pa'i chos la zhugs pa|34
chos dang rjes su mthun par spyod pa|34
chos kyi dbyings rnam par dag pa|16
chos kyi rjes su 'brang ba|33
chos kyi sku|17
chos kyi sprin|28
chos rab tu rnam par 'byed pa yang dag byang chub kyi yan lag|41
chos thams cad mngon par rdzogs par byang chub pa la mi 'jigs pa|20
chos thams cad ni gzhi med pa|25
chos thams cad stong pa nyid|46
dad pa'i dbang po|41
dad pa'i stobs|41
dad pas mos pa|33
dad pas rjes su 'brang ba|33
dam pa'i chos kyi rnam grangs kyi ming la|35
'das pa'i dus la ma chags ma thogs pa'i ye shes mthong ba 'jug pa|25
dbang du bya ba|58
dbang phyug chen po che ba'i gnas|69
dbang po|40
dbang po lnga'i ming la|41
dbang po mchog dang mchog ma yin pa mkhyen pa'i stobs|19
dbyangs kyis bsnyad pa'i sde|35
dbyar sbyor|60
de bzhin gshegs pa|12
de bzhin gshegs pa'i mi 'jigs pa bzhi'i ming la|20
de bzhin gshegs pa'i stobs bcu'i ming la|18
de bzhin gshegs pa la 'khrul ba med pa|22
de bzhin gshegs pa so so'i mtshan la|15
de kho na'i don gyi phyogs gcig la rjes su zhugs pa|29
de lta bu byung ba'i sde|36
de ltar thogs na srid pa lan bdun pa|32
de ma thag ba'i rkyen|71
dga' ba|42
dga' ba yang dag byang chub kyi yan lag|41
dgag dbye|61
dga' ldan|67
dge bsnyen|56
dge chung|68
dge rgyas|68
dge sbyong|56
dge slong|56
dgongs pa bzhi'i ming la|53
dgra bcom pa|12
'di mthong ba la yod pa|38
dkar po rnam par mthong ba'i sa|28
dkyil 'khor|58
dngos grub|59
dngos gzhi|43
dngos po med pa'i ngo bo nyid stong pa nyid|46
dngos po med pa'i stong pa nyid|46
'dod chags dang bral pa'i sa|29
don bzang po|37
don dam pa'i bden pa|52
don dam pa stong pa nyid|45
don gzhan la dgongs pa|53
dor ba med pa stong pa nyid|45
drag shul spyod pa|58
drang por zhugs pa|34
drang srong chen po|15
dran pa'i dbang po|41
dran pa'i stobs|41
dran pa nyams pa med pa|23
dran pa yang dag byang chub kyi yan lag|41
dri ma med pa|26
dris nas lung bstan pa|52
dro bar gyur ba|30
dro bar gyur ba dro ba|30
dru gu 'dzings pa lta bu|72
'du byed kyi phung po|54
dud 'gro|64
'dun pa nyams pa med pa|23
'dus byas|71
'dus byas stong pa nyid|45
dus chad pa med pa|38
dus dang mi sbyor bar rnam par grol ba|34
dus gzhan la dgongs pa|53
'du shes kyi phung po|54
'du shes med pa'i snyoms par 'jug pa|43
dus kyis rnam par grol ba|33
'dus ma byas|71
'dus ma byas stong pa nyid|45
'dzam bu gling|65
gang zag|63
gang zag gzhan la dgongs pa|53
gleng gzhi'i sde|35
gnas dang gnas ma yin pa mkhyen pa'i stobs|18
gnas ngan len|54
gnod sbyin|61
gnyen po la ldem por dgongs pa|53
gnyis ka'i cha las rnam par grol ba|34
'gog pa'i snyoms par 'jug pa|43
gong du 'pho ba|33
grib gnon|62
gsang sngags|57
gso ba|63
gso sbyong|60
gtan la phab par bstan pa'i ste|36
gya nom pa|49
gya nom snang ba|69
gzhag par lung bstan pa|52
gzhan gyi dbang gi mtshan nyid|53
gzhan 'phrul dbang byed|67
gzhugs pa la ldem por dgongs pa|53
gzungs sngags|44
gzungs sngags|58
'jig rten mkhyen pa|14
'jig rten pa'i chos kyi mchog|30
'jig rten pa'i lha'i ming la|39
'jig rten skyong|40
khams sna tshogs mkhyen pa'i stobs|19
'khrul byed|59
khyab 'jug|39
klu'i rgyal po nor rgyas|64
kun brjod pa'i cho 'phrul|25
kun brtags pa'i mtshan nyid|52
kun nas slong ba po|64
kun rdzob kyi bden pa|52
kun shes pa dang ldan pa'i dbang po|51
kun shes pa'i dbang po|51
kun skyobs|15
lam|49
lam bzhi'i ming la|51
lan cig phyir 'ong ba|32
las kyi rnam par smin pa mkhyen pa'i stobs|18
ldem por dgongs pa bzhi'i ming la|53
legs pa'i blo gros|27
lhag mthong|47
lngas rtsen|62
longs spyod rdzogs pa'i sku|17
lto 'phye chen po|64
lung bstan pa'i sde|35
lus kyi las thams cad ye shes kyi sngon du 'gro zhing ye shes kyi rjes su 'brang ba|24
lus kyis mngon du byed pa|33
lus srul po|62
ma dres pa|37
mdo'i sde|35
me long lta bu'i ye shes|16
mgo gcig tu lung bstan pa|52
mi'am ci|64
mi che ba|69
mi dmigs pa stong pa nyid|46
mi gdung ba|69
mig mi bzang|40
mi gyo ba|27
mi lcogs pa med pa|42
mi mthun pa med cing 'dus pa dang ldan pa|39
mi rtag pa|48
mi shes pa kun shes par byed pa'i dbang po|50
mkhan po|57
mkhas pa rnams kyis rang gis rig par bya ba|38
mngon du gyur ba|27
mngon par 'du byed pa dang bcas pas yongs su mya ngan las 'da' ba|32
mngon par 'du byed pa med par yongs su mya ngan las 'da' ba|33
mngon par mtho ba|70
mngon par rtogs pa'i lam mtha' las byung ba'i dge ba'i rtsa ba|50
mngon par shes pa myur ba la dka' ba'i lam|51
mngon par shes pa myur ba la sla ba'i lam|51
mnyam pa nyid kyi ye shes|17
mnyam pa nyid la dgongs pa|53
mnyan yod|65
mos pa sna tshogs mkhyen pa'i stobs|18
mos pa spyod pa'i sa|29
mtha' las 'das pa stong pa nyid|45
mthar gyis gnas pa'i snyoms par 'jug pa dgu|44
mthong ba'i sa|28
mthong ba po|64
mthong bas thob pa|33
mthun par zhugs pa|34
mtshan nyid gsum gyi ming la|52
mtshan nyid la ldem por dgongs pa|53
mu stegs can|57
nad med pa|38
nam mkha' lding|64
nam mkha' mtha' yas skye mched|70
nang stong pa nyid|44
ngag gi las thams cad ye shes kyi sngon du 'gro zhing ye shes kyi rjes su 'brang ba|24
nges par 'byed pa'i cha dang mthun pa|30
nges par 'byin ba|49
nges par 'byung ba|49
nges par byung ba rdzogs pa'i byang chub tu 'gro bar byed pa|39
nges par legs pa|70
ngo bo nyid stong pa nyid|46
nub kyi ba lang spyod|65
nye bar gtod pa|38
nyer bsdogs|43
nyi ma'i rgyud|15
'od byed pa|27
'od chung|68
'od gsal|68
'od 'phro ba can|27
'od srung|16
'ong ba dang 'gro bar gyur ba|72
'phags pa'i lam yan lag brgyad pa'i ming la|41
'phags skyes po|40
pha rol tu phyin pa bcu'i ming la|41
phi nang stong pa nyid|45
'phrul dga'|67
phung po lhag ma dang bcas pa'i mya ngan las 'das pa|70
phung po lhag ma med pa'i mya ngan las 'das pa|70
phun sum tshogs pa thams cad 'thob par 'gyur bar nges par 'byung ba'i lam de bzhin du 'gyur ba la mi 'jigs pa|21
phyir mi 'ong ba|32
phyi stong pa nyid|44
rab tu dga' ba|26
rab tu skye ba|48
rang bzhin stong pa nyid|46
rang gi mtshan nyid stong pa nyid|46
rdzu 'phrul gyi cho 'phrul|25
rengs byed|59
rgyal ba|14
rgyal chen bzhi'i ris|66
rgyas pa|58
rgyu|48
rgyu ba bcad pa|39
rgyun du zhugs pa|31
rig pa dang zhabs su ldan pa|13
rigs kyi sa|28
rigs nas rigs su skye ba|32
rig sngags|58
rigs pa|49
rigs par zhugs pa|34
rjes su bstan pa'i cho 'phrul|25
rkyen|48
rmad du byung ba'i chos kyi sde|36
rmongs byed|59
rmugs byed|59
rnal 'byor|47
rnam par grol ba'i lam|49
rnam par grol ba nyams pa med pa|24
rnam par phye ste lung bstan pa|52
rnam par rig byed|54
rnam par rig byed ma yin pa|54
rnam par shes pa'i phung po|54
rnam par thar ba brgyad kyi ming la|43
rnam thos kyi bu|40
ro langs|62
rten cing 'brel bar 'byung ba'i yan lag bcu gnyis kyi ming la|55
rtogs par brjod pa'i sde|35
rtsa mun dza dang bal ba dza lta bur gyur ba|72
rtse mo|30
sa bla|66
sangs rgyas|11
sangs rgyas kyi chos ma 'dres pa bcu brgyad kyi ming la|22
sangs rgyas kyi sa kun tu 'od|28
sbyangs pa'i yon tan|60
sbyin pa'i pha rol tu phyin pa|41
sbyin pa las byung ba'i bsod nams bya ba'i dngos po|56
sbyin sreg|59
sdom pa|60
sdug bsngal ba|48
sdug bsngal la chos shes pa|50
sdug bsngal la rjes su rtogs pa'i shes pa|50
sdug bsngal la rjes su rtogs pa shes pa'i bzod pa|50
sems can|63
sems dpa' chen po|26
sems kyi skad cig ma bcu drug gi ming la|50
sems mnyam par ma gzhag pa med pa|22
sgra srog gi bu|61
sgrub pa|49
shar gyi lus 'phags|65
sha za|62
shed las skyes|63
shes pa po|64
shes rab kyi dbang po|41
shes rab kyi pha rol tu phyin pa|41
shes rab kyis rnam par grol ba|34
shes rab kyi stobs|41
shes rab nyams pa med pa|24
shin tu mthong|69
shin tu rgyas pa'i sde|36
shin tu sbyangs dka' ba|27
shin tu sbyangs pa yang dag byang chub kyi yan lag|41
skem byed|62
skye ba po|63
skyes bu|63
skyes nas yongs su mya ngan las 'da' ba|32
skyes pa'i rabs kyi sde|36
skyob pa|15
slob dpon|57
slong ba po|64
smon lam gyi pha rol tu phyin pa|41
smyo byed|62
snang ba mched pa|29
snang ba thob pa|29
sngags kyi rgyud|57
sngags kyi rgyud nas 'byung ba'i ming la|57
sngon gyi gnas rjes su dran pa mkhyen pa'i stobs|20
snying rje|42
so sor brtags pa'i 'gog pa|70
so sor brtags pa ma yin pa'i 'gog pa|70
so sor ma rtogs pa'i btang snyoms med pa|23
so sor rtog pa'i ye shes|17
so so yang dag par rig pa bzhi'i ming la|25
sprin med|68
sprul pa'i sku|18
sra brkyang bting ba|61
sred med bu'i stobs|71
srin po|61
srog|63
stobs kyi pha rol tu phyin pa|41
stobs lnga'i ming la|41
stobs mchog gi stobs|71
stong pa|48
stong pa bcu brgyad kyi ming la|44
stong pa nyid stong pa nyid|45
ston pa|14
sum cu rtsa gsum pa|66
'thab bral|67
thabs kyi pha rol tu phyin pa|41
tha dad pa'i 'du shes med pa|22
tha mar dge ba|37
thams cad du 'gro ba'i lam mkhyen pa'i stobs|19
thog ma dang tha ma med pa stong pa nyid|45
thog mar dge ba|36
ting nge 'dzin|43
ting nge 'dzin gyi dbang pa|41
ting nge 'dzin gyi stobs|41
ting nge 'dzin nyams pa med pa|23
ting nge 'dzin yang dag byang chub kyi yan lag|41
tshad med dge|68
tshad med 'od|68
tshangs 'khor|67
tshangs pa chen po|67
tshangs pa mdun na 'don|67
tshangs par spyod pa|36
tshangs ris|67
tshig 'bru bzang po|37
tshogs dang spyod pa|31
tshor ba'i phung po|54
tshor ba po|64
tshul bzhin yid la byed pa|47
tshul khrims kyi pha rol tu phyin pa|41
tshul khrims las byung ba'i bsod nams bya ba'i dngos po|56
tshul khrims sam ngang tshul|60
yang dag pa'i dran pa|41
yang dag pa'i las kyi mtha'|41
yang dag pa'i lta ba|41
yang dag pa'i ngag|41
yang dag pa'i rtogs pa|41
yang dag pa'i rtsol ba|41
yang dag pa'i ting nge 'dzin|41
yang dag pa'i 'tsho ba|41
yang dag par mthong ba|37
yang dag par rdzogs pa'i sangs rgyas|13
ye shes kyi pha rol tu phyin pa|41
yid kyi las thams cad ye shes kyi sngon du 'gro zhin ye shes kyi rjes su 'brang ba|24
yo byad bsnyungs pa|60
yongs 'dus brtol|66
yongs su byang ba|37
yongs su dag pa|37
yongs su grub pa'i mtshan nyid|53
yongs su rdzogs pa|37
yon tan|56
yul 'khor bsrungs|40
zad pa shes pa thob pa'i dge ba'i rtsa ba|50
zag pa dang bcas pa|71
zag pa med pa|71
zag pa zad pa mkhyen pa'i stobs|20
zag pa zad pa thams cad mkhyen pa la mi 'jigs pa|21
zhi ba|49
zhi ba|58
zhi gnas|46
zhi gnas dang lhag mthong la sogs pa'i ming la|46
